TransactionID,Amount,SenderCounty,ReceiverCounty,TimeOfDay,TransactionType,AccountAgeMonths,TransactionsLast24Hours,DeviceChangedRecently,NewLocationLogin,FailedPinAttempts,IsWeekend,Fraudulent
TXN000001,335293,Mombasa,Nyeri,2,Withdraw,15,1,No,Yes,3,Yes,Yes
TXN000002,16713,Nyeri,Nakuru,22,Withdraw,4,3,Yes,Yes,8,Yes,Yes
TXN000007,333331,Kiambu,Mombasa,19,Paybill,107,12,Yes,No,5,Yes,Yes
TXN000008,280093,Nyeri,Nakuru,21,Till,94,8,Yes,No,6,No,Yes
TXN000009,441947,Uasin Gishu,Kiambu,2,Paybill,99,25,Yes,Yes,0,No,Yes
TXN000010,478796,Kakamega,Kisumu,8,Paybill,73,29,No,Yes,7,No,Yes
TXN000015,80181,Nairobi,Mombasa,11,Till,48,25,Yes,Yes,5,No,Yes
TXN000016,125591,Nyeri,Kisumu,4,Withdraw,8,8,Yes,Yes,7,Yes,Yes
TXN000018,229740,Mombasa,Machakos,0,Paybill,116,17,No,Yes,3,Yes,Yes
TXN000019,308562,Nairobi,Machakos,2,Paybill,29,1,Yes,Yes,3,Yes,Yes
TXN000020,146052,Kakamega,Uasin Gishu,6,Send Money,86,16,Yes,Yes,7,Yes,Yes
TXN000022,381843,Nyeri,Kakamega,4,Withdraw,44,26,Yes,Yes,3,Yes,Yes
TXN000023,96250,Nairobi,Nyeri,0,Send Money,36,15,Yes,Yes,7,Yes,Yes
TXN000024,485733,Kakamega,Nakuru,12,Send Money,97,28,Yes,Yes,6,No,Yes
TXN000026,81208,Machakos,Nairobi,1,Withdraw,25,10,Yes,Yes,8,Yes,Yes
TXN000027,263688,Kisumu,Mombasa,19,Send Money,118,28,Yes,Yes,8,Yes,Yes
TXN000028,354055,Meru,Mombasa,13,Till,111,8,No,Yes,3,Yes,Yes
TXN000029,490105,Kisumu,Kiambu,14,Till,34,7,No,Yes,4,No,Yes
TXN000030,487123,Mombasa,Nyeri,6,Till,97,30,Yes,Yes,7,Yes,Yes
TXN000031,69495,Kisumu,Kakamega,17,Till,120,12,Yes,Yes,5,No,Yes
TXN000033,142838,Nyeri,Kakamega,8,Send Money,37,20,Yes,No,3,No,Yes
TXN000035,289289,Nyeri,Nairobi,11,Paybill,91,14,Yes,Yes,1,Yes,Yes
TXN000037,185479,Kisumu,Uasin Gishu,0,Paybill,100,18,No,Yes,3,Yes,Yes
TXN000038,386221,Mombasa,Uasin Gishu,1,Withdraw,119,11,No,Yes,4,Yes,Yes
TXN000040,208960,Nyeri,Machakos,0,Send Money,43,9,Yes,No,5,No,Yes
TXN000044,171063,Uasin Gishu,Kisumu,19,Till,52,23,No,Yes,3,No,Yes
TXN000045,212950,Uasin Gishu,Meru,19,Till,71,27,Yes,No,4,Yes,Yes
TXN000047,49011,Kisumu,Nairobi,1,Paybill,105,25,Yes,No,3,Yes,Yes
TXN000048,249158,Uasin Gishu,Kakamega,12,Paybill,79,28,Yes,No,6,Yes,Yes
TXN000049,77419,Kisumu,Nyeri,14,Send Money,84,23,Yes,Yes,6,Yes,Yes
TXN000055,204248,Machakos,Kiambu,12,Withdraw,116,25,Yes,No,7,Yes,Yes
TXN000056,282232,Uasin Gishu,Kakamega,0,Withdraw,96,24,Yes,No,3,No,Yes
TXN000057,176278,Meru,Nyeri,0,Withdraw,86,22,No,Yes,7,Yes,Yes
TXN000058,310372,Kakamega,Kisumu,1,Till,73,22,Yes,Yes,6,Yes,Yes
TXN000060,246626,Nairobi,Nairobi,7,Paybill,3,24,Yes,No,3,Yes,Yes
TXN000061,440047,Mombasa,Meru,6,Withdraw,3,20,Yes,Yes,2,No,Yes
